Time: 2.2900
U[474] = 0.855040
U[475] = 0.856000
U[476] = 0.856960
U[477] = 0.857920
U[478] = 0.858880
U[479] = 0.859840
U[480] = 0.860800
U[481] = 0.861760
U[482] = 0.862720
U[483] = 0.863680
U[484] = 0.864640
U[485] = 0.865600
U[486] = 0.866560
U[487] = 0.867520
U[488] = 0.868480
U[489] = 0.869440
U[490] = 0.870400
U[491] = 0.871360
U[492] = 0.872320
U[493] = 0.873280
U[494] = 0.874240
U[495] = 0.875200
U[496] = 0.876160
U[497] = 0.877120
U[498] = 0.878080
U[499] = 0.879040
U[500] = 0.880000
U[501] = 0.880960
U[502] = 0.881920
U[503] = 0.882880
U[504] = 0.883840
U[505] = 0.884800
U[506] = 0.885760
U[507] = 0.886720
U[508] = 0.887680
U[509] = 0.888640
U[510] = 0.889600
U[511] = 0.890560
U[512] = 0.891520
U[513] = 0.892480
U[514] = 0.893440
U[515] = 0.894400
U[516] = 0.895360
U[517] = 0.896320
U[518] = 0.897280
U[519] = 0.898240
U[520] = 0.899200
U[521] = 0.900160
U[522] = 0.901120
U[523] = 0.902080
U[524] = 0.903040
U[525] = 0.904000
U[526] = 0.904960
U[527] = 0.905920
U[528] = 0.906880
U[529] = 0.907840
U[530] = 0.908800
U[531] = 0.909760
U[532] = 0.910720
U[533] = 0.911680
U[534] = 0.912640
U[535] = 0.913600
U[536] = 0.914560
U[537] = 0.915520
U[538] = 0.916480
U[539] = 0.917440
U[540] = 0.918400
U[541] = 0.919360
U[542] = 0.920320
U[543] = 0.921280
U[544] = 0.922240
U[545] = 0.923200
U[546] = 0.924160
U[547] = 0.925120
U[548] = 0.926080
U[549] = 0.927040
U[550] = 0.928000
U[551] = 0.928960
U[552] = 0.929920
U[553] = 0.930880
U[554] = 0.931840
U[555] = 0.932800
U[556] = 0.933760
U[557] = 0.934720
U[558] = 0.935680
U[559] = 0.936640
U[560] = 0.937600
U[561] = 0.938560
U[562] = 0.939520
U[563] = 0.940480
U[564] = 0.941440
U[565] = 0.942400
U[566] = 0.943360
U[567] = 0.944320
U[568] = 0.945280
U[569] = 0.946240
U[570] = 0.947200
U[571] = 0.948160
U[572] = 0.949120
U[573] = 0.950080
U[574] = 0.951040
U[575] = 0.952000
U[576] = 0.952960
U[577] = 0.953920
U[578] = 0.954880
U[579] = 0.955840
U[580] = 0.956800
U[581] = 0.957760
U[582] = 0.958720
U[583] = 0.959680
U[584] = 0.960640
U[585] = 0.961600
U[586] = 0.962560
U[587] = 0.963520
U[588] = 0.964480
U[589] = 0.965440
U[590] = 0.966400
U[591] = 0.967360
U[592] = 0.968320
U[593] = 0.969280
U[594] = 0.970240
U[595] = 0.971200
U[596] = 0.972160
U[597] = 0.973120
U[598] = 0.974080
U[599] = 0.975040
U[600] = 0.976000
U[601] = 0.976960
U[602] = 0.977920
U[603] = 0.978880
U[604] = 0.979840
U[605] = 0.980800
U[606] = 0.981760
U[607] = 0.982720
U[608] = 0.983680
U[609] = 0.984640
U[610] = 0.985600
U[611] = 0.986560
U[612] = 0.987520
U[613] = 0.988480
U[614] = 0.989440
U[615] = 0.990400
U[616] = 0.991360
U[617] = 0.992320
U[618] = 0.993280
U[619] = 0.994240
U[620] = 0.995200
U[621] = 0.996160
U[622] = 0.997120
U[623] = 0.998080
U[624] = 0.999040
U[625] = 1.000000
U[626] = 1.000960
U[627] = 1.001920
U[628] = 1.002880
U[629] = 1.003840
U[630] = 1.004800
U[631] = 1.005760
U[632] = 1.006720
U[633] = 1.007680
U[634] = 1.008640
U[635] = 1.009600
U[636] = 1.010560
U[637] = 1.011520
U[638] = 1.012480
U[639] = 1.013440
U[640] = 1.014400
U[641] = 1.015360
U[642] = 1.016320
U[643] = 1.017280
U[644] = 1.018240
U[645] = 1.019200
U[646] = 1.020160
U[647] = 1.021120
U[648] = 1.022080
U[649] = 1.023040
U[650] = 1.024000
U[651] = 1.024960
U[652] = 1.025920
U[653] = 1.026880
U[654] = 1.027840
U[655] = 1.028800
U[656] = 1.029760
U[657] = 1.030720
U[658] = 1.031680
U[659] = 1.032640
U[660] = 1.033600
U[661] = 1.034560
U[662] = 1.035520
U[663] = 1.036480
U[664] = 1.037440
U[665] = 1.038400
U[666] = 1.039360
U[667] = 1.040320
U[668] = 1.041280
U[669] = 1.042240
U[670] = 1.043200
U[671] = 1.044160
U[672] = 1.045120
U[673] = 1.046080
U[674] = 1.047040
U[675] = 1.048000
U[676] = 1.048960
U[677] = 1.049920
U[678] = 1.050880
U[679] = 1.051840
U[680] = 1.052800
U[681] = 1.053760
U[682] = 1.054720
U[683] = 1.055680
U[684] = 1.056640
U[685] = 1.057600
U[686] = 1.058560
U[687] = 1.059520
U[688] = 1.060480
U[689] = 1.061440
U[690] = 1.062400
U[691] = 1.063360
U[692] = 1.064320
U[693] = 1.065280
U[694] = 1.066240
U[695] = 1.067200
U[696] = 1.068160
U[697] = 1.069120
U[698] = 1.070080
U[699] = 1.071040
U[700] = 1.072000
U[701] = 1.072960
U[702] = 1.073920
U[703] = 1.074880
U[704] = 1.075840
U[705] = 1.076800
U[706] = 1.077760
U[707] = 1.078720
U[708] = 1.079680
U[709] = 1.080640
U[710] = 1.081600
U[711] = 1.082560
U[712] = 1.083520
U[713] = 1.084480
U[714] = 1.085440
U[715] = 1.086400
U[716] = 1.087360
U[717] = 1.088320
U[718] = 1.089280
U[719] = 1.090240
U[720] = 1.091200
U[721] = 1.092160
U[722] = 1.093120
U[723] = 1.094080
U[724] = 1.095040
U[725] = 1.096000
U[726] = 1.096960
U[727] = 1.097920
U[728] = 1.098880
U[729] = 1.099840
U[730] = 1.100800
U[731] = 1.101760
U[732] = 1.102720
U[733] = 1.103680
U[734] = 1.104640
U[735] = 1.105600
U[736] = 1.106560
U[737] = 1.107520
U[738] = 1.108480
U[739] = 1.109440
U[740] = 1.110400
U[741] = 1.111360
U[742] = 1.112320
U[743] = 1.113280
U[744] = 1.114240
U[745] = 1.115200
U[746] = 1.116160
U[747] = 1.117120
U[748] = 1.118080
U[749] = 1.119040
U[750] = 1.120000
U[751] = 1.120960
U[752] = 1.121920
U[753] = 1.122880
U[754] = 1.123840
U[755] = 1.124800
U[756] = 1.125760
U[757] = 1.126720
U[758] = 1.127680
U[759] = 1.128640
U[760] = 1.129600
